jugador;equipo;partidos;minutos;puntos;rebotes;asistencias;robos;tapones
ALEX RENFROE;FCB;17;301;67;36;28;17;0
ANTE TOMIC;FCB;29;633;256;171;58;17;20
BRAD OLESON;FCB;24;519;128;44;47;14;5
JOEY DORSEY;FCB;17;292;93;107;14;9;5
JONATHAN HOLMES;FCB;7;89;36;19;2;2;1
JUANCARLOS NAVARRO;FCB;16;247;91;17;28;7;0
JUSTIN DOELLMAN;FCB;15;299;117;47;18;13;2
MARCUS ERIKSSON;FCB;22;217;44;27;7;8;3
MOUSSA DIAGNE;FCB;8;79;21;28;3;2;1
PAU RIBAS;FCB;2;20;9;1;1;1;0
PETTERI KOPONEN;FCB;27;610;274;46;51;20;0
RODIONS KURUCS;FCB;1;3;2;0;0;0;0
STEFAN PENO;FCB;10;48;11;6;5;3;1
STRATOS PERPEROGLOU;FCB;22;460;140;69;34;16;4
TYRESE RICE;FCB;30;889;389;49;146;34;3
VICTOR CLAVER;FCB;27;594;163;118;34;25;8
VITOR FAVERANI;FCB;9;139;69;38;5;3;2
XAVIER MUNFORD;FCB;5;34;5;5;2;1;0
AHMET DUVERIOGLU;FNB;7;56;28;12;1;1;3
ANTHONY BENNETT;FNB;8;61;12;9;1;3;1
BARIS HERSEK;FNB;3;12;4;0;0;1;0
BERK UGURLU;FNB;7;30;2;1;2;1;0
BOBBY DIXON;FNB;29;765;329;81;93;32;0
BOGDAN BOGDANOVIC;FNB;17;456;232;52;66;20;2
EGEHAN ARNA;FNB;1;NA;0;0;0;0;0
EKPE UDOH;FNB;26;821;308;199;50;26;55
JAMES NUNNALLY;FNB;30;544;176;60;55;14;6
JAN VESELY;FNB;29;704;292;130;40;31;13
KOSTAS SLOUKAS;FNB;24;626;245;46;108;16;4
LUIGI DATOME;FNB;28;701;269;110;32;17;2
MELIH MAHMUTOGLU;FNB;17;205;79;10;11;5;0
NIKOLA KALINIC;FNB;28;652;187;85;37;22;8
PERO ANTIC;FNB;27;398;123;71;18;13;2
YORDAN MINCHEV;FNB;2;NA;0;2;0;0;0
ALEX TYUS;GSO;30;590;300;156;13;19;46
AUSTIN DAYE;GSO;25;463;217;74;26;12;7
BLAKE SCHILB;GSO;27;690;250;104;107;19;3
BRUNO FITIPALDO;GSO;16;225;86;4;38;4;0
CAN KORKMAZ;GSO;10;79;34;6;8;2;0
DEON THOMPSON;GSO;13;151;55;27;9;7;5
EGE ARAR;GSO;10;115;22;30;4;3;4
EMIR PRELDZIC;GSO;18;292;92;44;42;18;0
GOKSENIN KOKSAL;GSO;28;407;97;35;23;10;0
JON DIEBLER;GSO;29;551;189;54;42;15;0
JUSTIN DENTMON;GSO;8;163;98;10;18;6;1
ORHAN HACIYEVA;GSO;4;NA;0;1;0;0;0
RUSS SMITH;GSO;7;65;49;8;6;2;1
SINAN GULER;GSO;30;871;315;85;168;40;14
TIBOR PLEISS;GSO;28;479;215;130;13;5;34
VLADIMIR MICOV;GSO;29;845;326;104;69;24;2
ANDREW GOUDELOCK;MTA;20;573;345;53;57;5;0
COLTON IVERSON;MTA;30;618;240;159;17;24;7
DAGAN YIVZORI;MTA;1;NA;0;0;0;0;0
DEVIN SMITH;MTA;28;733;257;152;45;18;10
DIAMON SIMPSON;MTA;6;121;55;40;7;9;6
